평점,리뷰
4.0,"8.7/발 하나쯤이야 너의 가능성에 흔쾌히 내주는 명백한 엄마의 마음, 분명 사랑과 헌신.
/
소통하고 어울리는 법, 일상을 살아가며 위기에 대처하는 법, 낯선 이들에게 인정받고 친구가 되는 법, 책임감을 가지는 것과 엄마가 되는 법, 감정을 느끼고 사랑을 나누는 법, 소중한 존재를 지켜내고자 헌신하는 마음까지. 야생으로부터 배운 이 모든 기적과도 같은 생존법을 그 누구도 아닌 바로 너에게 전한다. 엄마니까.
/
로즈와 브라이트빌의 메인 플롯 외에도 이야기 곳곳에서 소소하지만 꽤나 감동적, 인상적으로 이런저런 메시지들을 다뤄내고 있음. 모두를 왕따시키지만 사실 누구보다 친구를 필요로 하기에 위험해 보이는 로봇에게 마음을 열고 새끼 기러기와도 가족이 된 여우 핑크, 갑작스러운 새끼 기러기의 간택에 당황한 로즈에게 엄마란 존재의 마음과 엄마로서의 자세를 알려준 주머니쥐 핑크테일의 선한 오지랖, 모두가 헛수고라며 무시하고 조롱하지만 기어이 자신만의 뜻을 고수해서 끝내 모두에게 커다란 도움을 준 노력하는 괴짜 비버 썬더볼트의 뚝심과 끈기, 동화 <미운 오리 새끼>처럼 다른 기러기들에게 무시당하고 놀림 받던 브라이트빌이 무리를 위기에서 구해내고 리더로서 인정받는 모습, 기러기 무리의 리더 롱넥이 브라이트빌을 기꺼이 받아들이며 보여준 포용력과 무리를 이끌어 나갈 때 보여준 침착한 대처 및 솔선수범, 희생정신 등 리더의 자세, 종을 초월해 하나된 마음으로 주인의식을 가지고 숲을 지켜낸 뒤 서로를 밀어내고 미워하기보다 친구가 되어 조화를 이루며 살아가게 된 동물들의 모습까지. 과하게 넘치는 것 없이 메인 플롯과 매끄럽고 조화롭게 어우러지며 이야기를 더 풍성하고 다채롭게 꾸며줬고, 재미는 물론 의미까지도 더해줬음.
/
여우와 기러기가 가족처럼 지내는 모습, 먹이 사슬을 무시하고 야생의 모든 동물들이 한 곳에 모여 겨울을 나고, 모두가 한 마음 한 뜻으로 로즈를 지켜내기 위해 로봇들과 싸우고, 로즈가 떠난 후에도 다같이 어울려서 조화롭게 지내는 모습 등, 야생과 동물들을 지극히 인간의 관점에서 바라보며 편리하게 써먹었다는 느낌이 좀 들긴 했음. 때문에 F면서도 중간중간 T의 사고가 스멀스멀 올라오며 '네들 당장 뭐 먹고 살 건데?', '왜 물 속에 사는 애들이랑 곤충들은 안 껴주는 건데?' 등등의 의문과 함께 현실감이 좀 떨어진다 느끼기도 했음. 허나 영화가 끝나고 나올 때 극장에서 목격한 어떤 광경 덕에 그 찝찝하고 신경 쓰이는 마음이 많이 사라질 수 있었음. 앉아서 쿠키 영상을 기다리고 있는데, 앞에 있던 가족 중 어린 꼬마 아이가 아빠의 품에 안겨서 소리 내며 울고 있었고, 아빠는 그런 아이의 등을 말없이 토닥여 주고 있었음. 야생과 처음 맞닥뜨린 로즈처럼, 알에서 나와 로즈를 만나 성장해 나가는 브라이트빌처럼, 앞으로 이것저것 배우고 경험하며 꿈을 펼쳐나갈 아이들에게 세상을 알려주고, 진한 감동과 울림까지 줄 수 있다면 그깟 현실감이니 뭐니 얼마든지 양보해도 되겠다 싶었음. 물론 너무 말도 안 되는 묘사로 잘못된 정보를 전하는 건 삼가야겠지만.
/
로즈가 복귀신호를 보낸 뒤에 처음으로 야생이 아닌 인간들의 세상을 비추는데, 도시가 폐허로 변해 있거나 금문교가 물에 잠겨있는 등, 생각한 것과는 다르게 이미 한 차례 거대한 재난 같은 걸 겪은 이후로 보였음. 그래서 야생의 환경이 늘어난 건가 싶긴 했는데, 어쨌든 이야기 전개에 있어서 크게 중요하진 않아 보이니 거기에 대해 별다른 설명이 없어도 딱히 서운하진 않았음. 허나 그래도 세계관이 어떻게 된 상태인지 좀 궁금하긴 했음.
/
로즈를 회수하러 온 본트라인가 하는 오징어 로봇을 노골적으로 빌런처럼 묘사해놔서 좀 오글거렸음. 대사며 말투며 구약성경 속 창세기의 뱀처럼 흐느적거리며 로즈를 회유하고 협박도 하는데, 아무리 이탈한 로봇들을 잡으러 다니는 역할이라 해도 그래봤자 결국 같은 로봇일 뿐이면서 혼자만 인공지능 달고 의지를 가진 것마냥 사람 행세를 함. 대사며 말투며 고리타분한 구식 빌런 느낌인 데다, 뒤이어 보여준 활약마저 허무해서 몰입감도 떨어지고 싱겁고 오글거렸음.
/
새끼 브라이트빌 되게 귀여웠는데 너무 순식간에 사춘기에 접어들어서 두꺼운 목소리를 내고 있어서 좀 당황스러웠음. 새끼 브라이트빌의 성장과정 및 로즈, 핑크와의 케미 등을 좀 더 보여줘도 좋았을 것 같은데 너무 뜬금포로 과감하게 생략한 감이 있어서 아쉬웠음."
3.5,야생휴머노이드와 야생동물의 아름다운 공존
4.5,기러기 토마토 별똥별 우영우
3.5,"사랑, 성장, 로봇. 보장된 소재와 뻔한 전개 그리고 정석적인 캐릭터로 다소 유치하게 승부하지만, 예측 가능한 플롯에서 오는 일종의 안도감과 캐릭터들의 시니컬하고 현실적인 조크들이 뭔가 계속 다음을 기대하게 만든다.

* 241008 롯데시네마 서울대입구 4관 관람"
4.0,"이 영화를 보고
어머니, 모성 이상의 키워드를 읽어내지 못 한다면
그 이의 사회연대인지감수성이 거기까지인 것"
5.0,"사랑한다는 말..
너무 저릿한데 이런 뜻이구나..

다시 배우게 된 사랑
그리고
사랑해요."
3.5,허구의 힘을 아는 따뜻한 진화론 우화.
4.0,"방법을 아는 이들의 정공은 상당히 효과적이다.
드림웍스, 나이스 펀치."
3.5,뻔히 아는 내용인데도 음악을 절묘하게 잘 써서 오열하며 봤다. 비행 연습하는 장면은 한동안 기억에 남을 듯.
3.0,로봇도 사랑을 해
4.0,요즘같은 세상에 꼭 전해야할 메세지
4.0,그 어떤 한계도 넘어선 화합과 공존을 가능케 하는 사랑
4.5,"스타일이 바뀌고 시대가 지나도, 사람들이 사랑하는 내용은 같다."
5.0,"55) 24.10.5
당연히 존중받아야 할 헌신을 통한 맹목적 사랑"
5.0,"아름답다.
그게 내가 사랑에게 줄 수있는 가장 큰 찬사이다."
4.0,스포일러가 있어요!! 보기
4.0,쓰여진 것 위에 덧쓰다 못해 아로새겨진다
5.0,"보고 두번 울었다🥲
처음엔 바스티온을 어떻게 잘 따라했을까 싶은 생각뿐.
그리고 자연vs과학기술..아바타와 같은 양상이겠지.

인상적인 부분들은

사고였지만 인연이 닿고 그 업으로 알을 돌보기로 한 ‘책임’의 결심.

자식이 죽은줄알아도 시큰둥한 엄마😂

로봇어미에게서 자랐으니 동족과 로봇같이 상호작용하려했던 부분.

지나가듯 나온 죽음이 우리 가까이에 있는것을 느낄때 삶은 더 찬란해진다는 말..실존의 문제.

만남이 있으니 헤어짐도 있고 헤어짐이 있으니 만남도 있는 인연.

열등함은 우월의 기원. 짧은 날개는 활강과 수직하강에 유리하다는 것.. 그리고 그가 한 것은 너도 할 수 있다는 것. 아들러.

우리는 그렇게 생존을 위해 서로를 먹고 먹히도록 프로그래밍 됐으나 화합하고 상생하며 살아가요 라는 메시지. 본능은 본능이고 원형은 원형. 그 섬은 균형을 맞추며 잘 살아갈 것이다."
3.5,"본성 거스르기(릴로 & 스티치), 타자를 이해하고 같이 살아가는 법 배우기(드래곤 길들이기, 크루즈 패밀리)와 같은 전작들의 공동체주의 정신을 그대로 끌고 오면서 불가피한 죽음과 이별의 섭리까지 대담하게 받아들이며 확장되는 크리스 샌더스의 세계관. 언제나 이성보다 감성을 따르는 그의 믿음은 오히려 SF 장르에서 가장 빛을 발한다."
3.0,"연대의 범위가 확장되는 순간, 급격히 흥미를 잃는 후반부."
3.5,본격 육아 애니메이션. 뻔한 스토리와 클리셰인걸 알면서도 막상 그 장면이 펼쳐질때 느껴지는 감정은 어쩔수없다..
4.0,"아, 사랑스러워라

1가구 1로줌을 보급하시오"
4.0,"- 역시 아이 하나를 키우기 위해선 마을 전체가 필요하다
- 결핍을 장점으로, 갈등을 화해로, 분열을 화합으로, 하나를 우리로
- 그래서 '와일드' 로봇이었구나

어린이 관객 한 명이 엉엉 울기 시작하더니 상영관 전체가 울음 바다가 되었다면... 그걸로 충분하지 않을까?"
보고싶어요,"[24.10.02. 개봉]
+ 동명 동화 원작"
3.0,"유니버셜픽쳐스.티저 예고편)
03.06)
https://youtu.be/9JU-C3c-wEs?si=Ecstz6SlCB-rPt3f"
4.5,"과한 이야기, 과한 사운드에 피로함
하고픈 말이 너무 많은건 알겠지만 좀 더 추리는 편이 나았을 듯"
3.5,분명 유치한데 감독이 울라고 할 때마다 착실히 울고 나왔다
5.0,흔한 스토리일지라도 잘 만들면 명작이 된다
3.5,"올해의 영화닷
드림웍스 사랑합니다♡
빌 떠나보낼때 나만 광광 울었냐고요ㅠㅠㅠㅠ
OST마저 씬과 찰떡으로 맞아들어버리면 반칙이죠ㅠㅠ
소설이 원작이란걸 영화보고 나서 알았으니
최소 2편은 제작확정?! 제발..요...플리즈..ㅋ

p.s. 해수면 상승으로 물에 잠긴 샌프란 금문교라니..
소오름...ㅠ"
4.0,주말엔 어머니를 찾아뵈어야지
3.5,너무 예쁜 영상미가 상투적 이야기를 덮고 따뜻하게 마무리
3.5,동물친구들아 행복해야 한다~! (동물농장톤)
3.5,클리셰에 관한 사유를 집대성하고자 한 고찰.
3.5,월E가 생각이 많이 나네~ 하지만 아이들에겐 괜찮은 선택일 수도^^
5.0,자기 길을 정확히 알고 있으면서 만남의 소중함을 품고 사는.
4.0,"볼거리로나 감동으로나 최상급 완성도.
올해의 애니메이션은 인사이드아웃2, 룩백, 그리고 와일드 로봇.
엄청 울었네 진짜..ㅠㅠ"
3.5,"눈물범벅
며칠동안 생각나네 흑흑"
3.5,사랑은 견고할 것만 같았던 내 세계를 깨트리게 할 수 있는 것
4.0,스포일러가 있어요!! 보기
3.5,기대 이상... ㅠㅠ 다시 F로 돌아갔던 시간이었다......
4.0,그대 나를 미워하는 차가운 눈보라여도 그대의 날개 위해 사랑으로 헌신하리.
3.5,"반드시 해낸다.
나도 하면 너도 한다."
4.5,국밥집에 가서 국밥을 시켰더니 국밥은 안나오고 엄청나게 고급스러운 음식이 나오더라. 그래서 오 하고 한 입 먹어봤더니 걍 내가 아는 국밥 맛이었음. 근데 어차피 국밥 먹으러 온거라 맛있게 잘먹음 👍
4.0,주기적으로 볼 영화가 되었다
3.5,나는 여러분들이 로즈에게서 누굴 보았는지 알지
3.5,로봇이 사람보다 낫네요
3.5,"부모가 되는 방법을 누가 알겠는가, 부모는 계속 되어가는 것이다."
4.0,돌연변이 무기체와 돌연변이 유기체가 이루어 낸 ‘친절한 야생’이라는 유토피아
3.5,인간다운 로봇(Robot)과 인간다운 야생(Wild) 동물들의 의인화를 통해 전달하는 사랑의 해석.
4.5,사람보다 깡통이 더 심금을 울리네.
4.0,계모의 파행적 모성애로 없던 ‘애’가 가득히 채워져 마음이 따뜻해지고 눈과 귀가 즐겁다
4.0,이런 동화같은 이야기를 사랑한다. 쉽게쉽게 평화와 사랑 친절 모두 알려주는 영화.
2.5,"연대와 화합, 친절의 힘을 믿는 로봇이라니...
제대로 만든 아는 맛 만큼 무서운게 없다."
4.5,"가죽 재킷에 에나멜 구두를 신고 용산에 갔고, 머릿속에 Gangsta's paradise가 흘러나오고 있던 정신상태라 그런가. 보는 내내 미국 고등학교 교실 맨 뒷자리에서 선생님께서 무슨 말 할 때마다 ""booorinnnng----"" 하고 우우 거리는 뒷자리 불량배가 된 듯한 느낌이 들었다. 그러고보니 영화도 맨뒷자리에서 보았었다.
동화책에 호감이 있는 편이라 대학생 때 국립중앙도서관에 봉사활동 끝나고 몇십 권 쌓아놓고 본 적도 있었던 만큼, 감성이나 그림체는 나쁘지 않았다. 그러나 평소 '예측 가능한 내용전개' 라는 말을 별로 좋아하진 않지만 지나칠 정도로 예상이 가능하고 모든 일은 평이하기 그지없이, 아니 거의 속절없이 흐르는 수준으로까지 전개된다. 클라이맥스 장면에서 찡해야 하는데 '그래 연산장치를 제거하고 온전한 존재의 받아들임은 뭉클하지.' 라고 머리로만 연산하고 있으니. (담배를 뻑뻑피며 허공을 바라 본다.)"
5.0,불편의 시대에 우리가 잊고있던 친절함이 가지는 힘.
5.0,엄마... 엄마아...
3.5,"뻔하지만 굉장히 아름답다.
말 안해도 엄마는 내 마음을 알아줄 수도 있지만 미안함과 감사를 표현하는게 좋다.

귀엽고 대견한 기특한 아기 기러기 보러가세요."
5.0,"사랑의 오인이 가득한 때라면, 이상에 충치가 생겨도 좋아."
3.5,사랑이 다 이겨. 웅크리고 있는 사람들에게 희망을. 날아오른 사람들에게는 찬사를. 사랑은 결국 다 이겨.
3.5,"익숙한 이야기지만, 그러면 어떠하랴. 반복되는 이야기 속에서도 제대로 배우지 못하는 것들이 있는데 말이다. 만인의 로봇 로줌이 학습을 통해 야생의 로즈가 된 과정 말이다. 동등하게 조건없이 상대를 관찰하고 학습하며 사랑과 공존을 익혀 나가는 로즈를 웬만한 인간은 이길 수 없다.

지브리 애니나 아톰 등의 일본 애니나 픽사를 비롯한 자사의 애니까지 굉장히 많은 레퍼런스가 흘러가고 있지만 그 믹스도 나쁘지 않다. 역시 이제 인간은 안나와도 될 것 같아.

페드로 파스칼은 목소리만으로도 완벽하군."
4.0,"드림웍스는 비행 장면을 벅차게 참 잘만든다
스토리는 뻔하지만 계속 말했으면 좋겠는 메시지를 담은 영화이므로 어김없이 찡햇다..~"
4.0,스포일러가 있어요!! 보기
4.5,"가족영화 ost가 좋음, 가족끼리가면 부모님은 백퍼 울듯
불을 표현하는 방식이 좋았음"
4.0,친절이 생존이 되는 시간들
3.5,차마 눈물은 못 흘리고 참다가 목 매여서 목 아픈 영화
4.0,"뻔한 스토리지만, 다른 포인트 들이 있다.
남들과 비교하지말고 너답게 날아."
4.5,"모든게 기시감이 들지만 이 영화의 다른점은
감정을 담담하게 희석시키는 로봇의 역할이다
과잉이 아니라서 더 진하게 다가온다"
4.5,신파는 이렇게
4.5,내가 아는 로봇 중에 1등으로 다정한 로봇
3.5,스포일러가 있어요!! 보기
4.0,우리는 본능에 없는 것도 상상하고 실패하고 이루어낸다. Dream Works. 다르게 태어난 새도 날 수 있듯이.
4.0,혼자서 나는 새는 없다. 다르다고 지울 수 없는 사랑의 코드.
3.5,애기들 보라고 데려와서 부모님이 울게 만드는
4.0,너와의 시작은 임무였을지 몰라도 너와의 시간은 의무가 아니었어
2.0,본능을 넘어서는 친절함으로 완성한 공존의 생태계.
4.5,억지 감동을 장엄한 연출로 커버침. 장면을 따로 놓고 봐야 더 슬픔
4.5,단언컨대...2024년  최고의 애니메이션 top 1!
4.0,서투르고 부족하지만 어떤 것보다도 너를 깊고 따스하게 사랑하고 있음을.
3.5,"앞으로 사랑을 배워야 하는 어린이와
사랑이 메말라 버린 어른 모두의 마음을 자극한다.
사회에 프로그래밍 된 나 자신을 뛰어 넘어 보자"
3.5,아이가 생긴다면 꼭 같이 보고싶다
3.0,<드래곤 길들이기> 이후 가장 만족스러운 드림웍스 애니메이션인듯
3.5,새로울 것 없이 착하기만 하다
3.5,망가지고 넘어지는걸 겁내지 않는 드림웍스의 용감함이 좋다
5.0,모든 부모들을 위한 동화
4.0,그렇게 어머니가 된다.
4.0,"작품의 단점으로 보일 수 있는 평면적이고 단순한 지점은
묵묵히 사랑하고 행동하면 무슨 나쁜 일 있겠냐는 단순함과 함께"
4.0,"사랑,친구,연대,희생, 희망, 용기, 도전 이라는 말의 무게를 잘 보여준 영화."
3.5,두근거리는 심장과 동력은 날 살아있게 해주지만 널 향한 내 마음은 날 살아가게 만든다
5.0,요즘 디즈니에서 찾아보기 힘든 정수를 드림웍스에서 느낄 줄이야.
4.0,사랑은 로봇의 심장도 뛰게한다
4.0,따듯한 그림과 익숙하지만 지루하지 않은 이야기의 연출력. 드림웍스를 다시 기대하게 만든다.
4.5,스포일러가 있어요!! 보기
3.5,소녀의 눈물 포인트는 로봇입니다..
4.0,임무 완수 후에도 거침없이 달리고 하염없이 지키게 하는 맘에 관하여. 드림웍스가 픽사 위로 날아오른 마지막 해로 기억될 것.
3.5,익숙하게 느껴와본 그 감동.. 그래도 가슴을 울린다
4.0,"야생에서의 프로그래밍을 뛰어 넘어, 다정함으로."
4.0,"유사가족 가족 이야기 다 들어있고 인간이 미안해...
진짜 눈물 나는 아름다운 영화야!
그리고 유명한 배우들이 성우로 나와서 엔딩크래딧 볼때 너무 깜짝 놀람
마당을 나온 암탉 그리고 만달로리안 좋아하면 꼭 보는걸 추천함

친절함이 본성을 이긴다를 알려준 영화이기에 요즘 같은 시대에 한번쯤은 봤으면 좋겠다고 말하는 영화다"
4.0,원작의 재미와 감동을 다섯배쯤 배가시켜버린 수작.
3.5,이런거 큰화면으로 보라고 극장이있는거같다
4.5,디즈니가 못하는걸 드림웍스가 한다
4.0,"슬픈 영화는 아닌데,  브라이트빌 날아가는 장면에서 눈물이....ㅠㅠ"
5.0,"잘 만든 클리셰엔 속수무책으로 눈물을 흘리게 되,,"
3.5,로봇의 마음에 눈물이 주륵🥲
4.0,"로봇과 동물의 유대감과 연대감이 역경과 고난을 함께 겪으며 갖춰진다.
*엔딩크레딧 다 올라가고 쿠키영상 있어요!"
5.0,널 키우며 나도 컸단다
5.0,내 모든 것을 너에게
4.0,정말 너무 아름다운 이야기다... 영상미 연출 색감 스토리까지 완벽하지 않을 수가 없음
3.5,"“Sometimes, to survive, you must become more than you were programmed to be.”"
3.5,"갈등을 거치며 이뤄지는 유사가족, 마음을 가지게 되는 로봇, 서로 다른 이들이 위기 앞에서 손잡는 연대...뻔한 클리셰의 총합.
그럼에도 불구하고 터져나오는 눈물"
4.0,"그건 프로그래밍 되어있지 않아요.
모두가 그렇지!

그렇게 모두의 일원이 되어버린 녀석들"
3.5,"로봇영화들 왜케 다 사람을 눈물나게 해,,, 다 큰 사람들만 울고 온다는 애니영화"
4.0,모성애와 야생과 테크가 결합한 신박한 스토리에 한껏 몰입된다.
3.0,"객관적 현실과 감정, 도덕적 딜레마가 복잡미묘하게 섞인  인간에게.. 결국은 사랑인가요?"
4.0,"예상가는 클리셰
아는 맛이 무섭다
모성애는 반칙이지"
3.5,"눈물나게 감동적이고 따뜻한 가족 애니메이션

예매 실수로 자막이 아닌 더빙판을 보게돼서 기대를 낮추고 봤는데 웅성웅성 아이들과 같이 관람하게 되다보니  나도 함께 동심으로 돌아간 것같아서 오히려 좋았다. 아이들이 조그만 목소리로 '귀여워' 를 외칠때 나도 같이 귀엽다고 말하고 아이들이 '버럭' 거릴때 나도 같이 버럭했다. 어느 여자 아이와 아이엄마와 나와 신랑이 나란히 앉아서 봤는데 아이와 아이엄마와 나는 계속 훌쩍 거리며 봤다. VOD로 나오면 자막편으로 다시 한번 재관람 해야겠다."
4.0,과열되지않는 선의 훈훈함.
3.5,"2024.10.03

가족 영화 그것도 따뜻하면서도 뭉클한 가족 영화
쿠키영상은 나만 본 느낌이지만 중요한 건 아닌 듯하다"
4.5,기러기 나는 장면 너무 좋아따
4.0,매 씬마다 너무 좋았다 . 정말로. 스토리는 예측이 가능할 정도의 스토리였지만 장면의 아름다움과 음악이 그만큼 보완한다고 생각한다. 기대한 것보다 매 씬이 좋았고 드길 제작진인 만큼 하늘에서 나는 씬은 정말 좋았다고 생각한다. 그리고 자연을 정말 잘 담았다고 생각한다. 진짜...장화 신은 고양이도 정말 매 씬 볼때마다 감탄 했는데 이번 와일드 로봇도 감탄하면서 봤다.  영화관에서 보면 좋다고 생각한다. 제발 영화관에서 봐주십쇼.. 그리고 드웍은 맨날 이런 애니메이션 만들어줬음 좋겠다.가족영화 좋아하시면 보세요 진짜 드웍은 가족영화 장인 이니깐 진짜 이번에도 정말 맛있는 가족영화를 기깔나게 만들어냈습니다...정말 최고임...영화관가서 보세요 진짜 돌비로 봤는데 전 정말 음악도 한 몫 했다고 생각합니다..장난아니게 너무 좋아서 뭐라 말을 못하는게 너무 슬픔...아 그리고 로맨스가 없어서 좋았다. 정말 그냥 가족에 대한 이야기라서 그런지 로맨스가 안 들어간것같은데 그 점이 너무 좋았다.
3.0,"메시지는 프로그래밍되어있어도
가슴을 울리는 묵직함이 있으니까"
3.5,"완전 윤하 ""별의 조각"" 판박이 아니냐고. 그래서 너무 익숙했나."
3.5,"기억과 이름이 존재를 존재로 존재케 한다.

다툼의 세상에서 오롯이 사랑과 예쁨만 담다.
그런 꿈 같은 이야기를 지어내는 곳이 드림웍스다."
3.5,"드림웍스의 마지막을 영화 내내 각인시킨다.
‘인생은 어떻게 될지 몰라.’

CGV 용산"
4.5,서로에게 친절해야 살아남을 수 있다.
4.0,"뻔한 내용이여도
로봇이 감정을 깨닫는 순간은 언제봐도 슬프다"
3.0,"이렇게 되는거 어차피 아는데도 감동받는 나자신. 이래서 애니메이션을 아직 포기할수 없는 것이다
🎬 롯데시네마 성남중앙"
3.5,이야기의 풍성함보다는 시각적인 면에서 갈고 닦기.
4.0,어벤져스 보다 웅장함
3.5,"어떤 우연은 사명처럼, 끝내 운명처럼 느껴진다.

/앞자리의 꼬마가 엔딩크레딧이 올라가는 내내 엄마를 꼭 안아주는 걸 보고 더빙판을 보았음에 감사했던 용산 cgv 2관에서"
4.5,무엇보다 인간이 등장하지 않아 무해하게 따스하다.
4.5,Tlqkf 진짜 존나 울었네
4.5,친절함의 필요성에 관한 영화는 언제든 필요해!!!! ㅜㅜ
3.5,음... 재미있었으니까 드래곤 길들이기도 봐볼까?
5.0,로봇이 날 울려
3.5,부모가 되면 비로소 리프로그래밍 된다. '나' 이상의 '우리'를 위한 존재로.
보고싶어요,"로봇판 ""마당을 나온 암탉"""
4.0,용산에서 예고편 봤는데 이미 울었음
4.0,토이스토리3 이후 오랜만에 애니메이션 보며 울었다.
4.0,"로봇과 웰컴 투 정글!

바다가 보이는 곳에 자그마한 박스가 물살에 떠내려오고 있습니다. 호기심 많은 해달이 누른 버튼에 동그란 구모양의 로봇이 기지개를 켭니다. 로줌 유닛 7134란 생소한 이 이름의 로봇은 꽃게처럼 절벽을 기어올라 숲 속으로 향합니다. 도우미 로봇이라고 소개했는데 숲 속동물들은 기겁을 하기 시작하죠. 잠시 학습모드로 들어간 로줌 유닛 7134… 아니, 그냥 쉽게 로즈라고 부르죠. 아무튼 동물들의 언어를 배운 로즈. 실수로 기러기 둥지를 건드렸고 그중 알하나가 살아남았는데 여우 한 마리가 그것을 낚아채죠. 알은 살아남았고 깨어나는데 로즈를 엄마로 인식하죠. 그렇게 아기 기러기는 브라이트빌이란 이름을 얻고 그 여우의 이름은 핑크라는 것을 알게 되죠. 그 외에도 모성애 강한 주머니쥐 핑크테일, 거위 리더 롱넥 등의 도움을 받습니다. 브라이트빌은 이제 어른으로 성장하고 날갯짓을 펼쳐야 할 상황입니다. 로즈는 자신이 도와줄 수 있는 것에 한계를 느낍니다. 모두가 떠나고 다시 공장으로 돌아가려는 로즈. 하지만 거대한 비행선 속의 로봇은 좀 다른 생각인 것 같습니다. 모두가 위험해질 상황에서 숲 속 친구들과 브라이트빌이 이제 로즈를 구해줄 차례입니다.

정글숲에 떨어진 로봇과 어미를 잃은 아기 기러기와 천방지축 여우, 그리고 다양한 숲속 친구들과의 모험을 다룬 애니입니다. 감정 없는 로봇이 어떻게 사랑을 알고 친구가 되는가를 보여줍니다. 작가 피터 브라운 ‘와일드 로봇’의 첫 번째 이야기를 애니화한 작품입니다. 드림웍스의 작품들 중에 오리지널 작품이 아닌 작품들 중 하나인데 약육강식의 세상을 보여주는 조크를 거침없이 보여주는 면에서는 드림웍스지만 교훈적인 이야기라는 점에서는 비틀기의 재미가 없어서 아쉽죠. 그럼에도 감동은 충분합니다. 로봇이 헌신하고 자신의 몸이 부서져도 희생하려는 점도 좋았습니다. 사실 피터 브라운의 시리즈의 1부 격이라 시리즈도 노릴만하지만 드림웍스가 사실상 해체 수준을 밟으며 속편이 힘들 것 같다는 느낌이 듭니다. 농장으로 간 2편 ‘와일드 로봇의 탈출’과 환경오염의 이야기를 다룬 3편 ’와일드 로봇의 보호‘도 충분히 소재가 좋은 작품이기 때문이죠. 그런 점에서 드림웍스의 이 작품이 더욱 아쉽게 느껴지죠. 이와 별개로 비슷하지만 다른 방식을 선언했던 우리나라 애니 ‘마당을 나온 암탉’과도 비교해 보는 재미도 있을 것 같습니다. 기러기와 모성이라는 공통분모 속에 헌신과 희생을 나타내는 방식이 같으면서 다르다는 느낌이 들기 때문이죠. 그러나 이건 분명합니다. 생김새가 다르고 출신이 다르다고 해서 가족으로 규정하지 않는 것은 아니라는 것이죠. 금속도 열을 받으면 뜨겁습니다. 사랑의 온도도 그만큼 뜨거워지는 것이죠."
3.0,심장을 가지게 된 로봇이 전하는 포용의 메세지
2.5,저번에는 로봇이랑 개가 사람 울리더니 이젠 로봇이랑 기러기가 사람 울리네...
3.5,"큰 소리에 비해 작은 울림
그렇다 치자 하고 패싱한 디테일의 아쉬움
촬영과 디자인에 비해 아쉬운 연출들"
4.0,안예쁜 화면이 없다
4.0,프로그래밍된대로가 아닌 그것을 거슬러서라도
4.5,"차오르다 폭빌하는 bgm 이 참 좋다.
아름다운 화면도.
지나치게 현실적인 디테일에 신경쓰다가 되려 께림칙한
3D작화가 아닌 적당히 평면화를 섞어주어
보기편해지고
좀 더 애니메이션을 보는 친숙한 느낌을 받는다.
ㅡ
감동적이야 ~
그냥 양산형 애니메이션인 줄 알았지만
이게 뭐라고 눈물이.. ㅠㅡㅠ
특히 비행을 시작하는 장면에서의 음악과 화면이 너무 감동적이고 아름다워서 관객들 대부분이 울컥 한 것 같다.
어찌보면 단순해질 수 있는 스토리 구성이 다양한 동물들의 개성과 삶의 모습을 보여 주어 지루할 틈이 없이 만들었다. 마치 이것도 삶이다 라고 표현, 보여주는듯 하다.
다양한 삶의 모습은 각자가 모두 아름다웠다.
ㅡ
개인적으로 마당을 나온 암탉이 떠오른다
본 작품의 원작도 책이었다고 하니.
드래곤 길들이기의 비행 장면과
마당을 나온 암탉의 스토리 구성이 예쁘게 버무려 진 느낌이다.
ㅡ
이 비행은 로즈가 네게 준 선물이야.
너 답게 날아 다른 이들 처럼 날려고 하지 말고."
4.0,"‘야생’과 ‘로봇’으로
‘마음’을 그려내다니!"
4.0,이시대의 흑흑영화
4.0,뭔가에 결핍이 있다면 계속 그것만 생각해게 돼.
4.0,외딴 섬에서 마주한 가장 따뜻한 이야기
3.0,성장할 수 없는 것의 성장하는 자아
4.0,"로봇조차도 엄마라는 역할 속에서 가슴 뜨거워질 수밖에 없음을, 눈물겹게 사랑스럽게."
3.5,이거지..
4.5,와일드와 마일드 그 사이 어딘가
4.5,"시선을 이끄는 충실한 연출, 감각적인 빛 사용"
4.0,"매순간이 아름답고, 황홀하고, 감동적이며, 사랑이 넘쳐흐르는 최고의 영화. 어쩌면, 이 영화는 내년 아카데미시상식에서 장편애니메이션상을 수상할지도 모른다."
4.0,이름을 지어주고 불러주는 것
4.5,#CGV 압구정
5.0,<천공의 섬 라퓨타>에 나오는 로봇인줄...
3.5,너무 울었어... 비현실적이긴 하지만 동화같아서 사랑스럽고 귀엽고 재밌고... 애기는 없지만 15년 키우던 강아지를 떠나보내고 나서 눈물이 더 많아졌다 ㅠㅠ
3.5,영화로 그려내는 가슴뜨거운 동화
4.0,늘 먹어도 질리지 않는 맛
3.5,"Fly like you, not like them"
4.0,다죽자
3.5,"좀 더 어릴 때 이 영화를 봤더라면..
애들이 많아서 시끄러울 것 같았던 영화관에서 조용하게 집중하고 보던 초등학생들이 부러워졌다"
4.0,"""Fly like you, not like them"""
4.0,임무 완료!
3.0,"가족 , 사랑, 희생 모든게 다 있다."
보고싶어요,핑크야ㅠㅠ....
3.5,스포일러가 있어요!! 보기
3.5,연출과 화풍이 예술적이다
